ID,X,Y,NAME,POINT_NM,MATERIAL,DPWT,TIDE_TIME,ADR_KNM,FISH,CATEGORY
0,124.729472199961,37.8317777808872,대청도·소청도,선진포항 앞바다,가는 모래,13~20,조금 전후,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0
1,124.780222199965,37.7772777808896,대청도·소청도,곽암 부근,"자갈, 조개껍질",23~29,조금 전후,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0
2,124.733749999962,37.7515000008869,대청도·소청도,가두암 부근,가는 모래,26~30,조금 전후,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0
3,124.664083299956,37.8012777808829,대청도·소청도,갑죽도 부근,"모래, 조개껍질",22~27,조금 전후,인천광역시 옹진군,"넙치,노래미,농어,삼치,쏨뱅이,우럭",0
4,126.3179722,37.5228333309115,장봉도,비가지(날가지도) 부근,"모래, 펄",6~11,"조금 전·후, 3물~5물",인천광역시 옹진군,"넙치,노래미,망둑어,숭어,우럭",0
5,126.3976667,37.5381111109117,장봉도,부도 부근,모래,10~15,"조금 전·후, 3물~5물",인천광역시 옹진군,"넙치,노래미,망둑어,숭어,우럭",0
6,126.2794167,37.2778611109093,자월도,묵통도 부근,모래,12.5~14,"들물, 날물",인천광역시 옹진군,"농어,우럭",0
7,126.3135556,37.2695277809094,자월도,입암두 앞바다,모래,8~10,"들물, 날물",인천광역시 옹진군,"농어,우럭",0
8,126.3533056,37.2584722209093,자월도,굴뿌리 앞바다,모래,27~30,"들물, 날물",인천광역시 옹진군,"농어,우럭",0
9,126.31875,37.2396111109091,자월도,월암두(부근여) 부근,"조개껍질, 펄",13~17,"들물, 날물",인천광역시 옹진군,"농어,우럭",0
10,126.073222199999,37.2783888909091,덕적도·소야도,선미도 부근,모래,10~15,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
11,126.086888899999,37.259305560909,덕적도·소야도,단탄 부근,모래,12~17,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
12,126.080888899999,37.2161111109086,덕적도·소야도,용담갑 앞바다,가는모래,30~35,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
13,126.099888899999,37.205638890908496,덕적도·소야도,감증탄 부근,바위,6~10,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
14,126.210611099999,37.1945277809086,이작도·승봉도,벌도와 동백도 사이,가는 모래,20~27,,인천광역시 옹진군,"노래미,숭어,농어,넙치,우럭",0
15,126.220083299999,37.1988055609087,이작도·승봉도,동백도 동측 앞바다,가는 모래,47~50,,인천광역시 옹진군,"노래미,숭어,농어,넙치,우럭",0
16,126.2604167,37.1855000009086,이작도·승봉도,오형제바위 앞바다,펄,13~22,,인천광역시 옹진군,"넙치,노래미,농어,숭어,우럭",0
17,126.2879444,37.1613888909084,이작도·승봉도,송곳부리 앞바다,"모래, 펄, 조개껍질",8.4~10,,인천광역시 옹진군,"넙치,노래미,농어,숭어,우럭",0
18,126.2559722,37.1651944409084,이작도·승봉도,작은풀안해수욕장 앞바다,"모래, 펄",17~20,,인천광역시 옹진군,"넙치,노래미,농어,숭어,우럭",0
19,126.2463333,37.1802222209084,이작도·승봉도,선착장 앞바다,"모래, 펄",10~17,,인천광역시 옹진군,"넙치,노래미,농어,숭어,우럭",0
20,126.089333299999,37.2036388909084,문갑도·선갑도,문갑도 감증탄 부근,가는 모래,14.5~18,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,우럭",0
21,126.121249999999,37.1867222209084,문갑도·선갑도,문갑도 할미취 부근,가는 모래,7.8~10,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,우럭",0
22,126.043694399999,37.0923611109074,문갑도·선갑도,선갑도 서측 바다,가는 모래,35~40,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,우럭",0
23,126.080972199999,37.0587222209072,문갑도·선갑도,선갑도 우두암 부근,"펄, 모래",36~39,조금 전·후,인천광역시 옹진군,"넙치,노래미,농어,우럭",0
24,125.946138899998,37.064666670906895,백아도·굴업도,백아도 오도 부근,펄,6.2~10,"1~3물, 조금 전·후",인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
25,125.968722199999,37.056861110906894,백아도·굴업도,백아도 광대도 부근,"모래, 펄",3.8~5.2,"1~3물, 조금 전·후",인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
26,125.999194399999,37.1988333309083,백아도·굴업도,굴업도 동뿌리 앞바다,가는 모래,40~43,"1~3물, 조금 전·후",인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
27,125.980499999999,37.180138890908,백아도·굴업도,굴업도 항도 부근,펄,5~6.2,"1~3물, 조금 전·후",인천광역시 옹진군,"넙치,노래미,농어,붕장어,우럭",0
28,126.5273056,37.1224444409082,입파도·국화도,입파도 학산서 부근,"펄, 모래",15~18,조금 전·후,경기도 화성시,"넙치,노래미,도다리,붕장어,우럭",0
29,126.5227778,37.0929166709079,입파도·국화도,입파도 남서측 바다,"펄, 모래",31~34,조금 전·후,경기도 화성시,"넙치,노래미,도다리,붕장어,우럭",0
30,126.5634444,37.0807222209078,입파도·국화도,국화도 북동측 바다,모래,24.5~30,조금 전·후,경기도 화성시,"넙치,노래미,도다리,붕장어,우럭",0
31,126.5455556,37.0492222209075,입파도·국화도,국화도 등표 부근,펄,24~28,조금 전·후,경기도 화성시,"넙치,노래미,도다리,붕장어,우럭",0
32,126.4002778,37.1211388909081,풍도·난지도,풍도 북동측 바다,"자갈, 조개껍질",25~27,사리 전·후,경기도 안산시,"넙치,노래미,농어,붕장어,우럭",0
33,126.4128611,37.0841944409077,풍도·난지도,풍도 남동측 바다,모래,26~28,사리 전·후,경기도 안산시,"넙치,노래미,농어,붕장어,우럭",0
34,126.3785556,37.0853055609078,풍도·난지도,풍도 남서측 바다,모래,18~20,사리 전·후,경기도 안산시,"넙치,노래미,농어,붕장어,우럭",0
35,126.4113056,37.0571944409076,풍도·난지도,대난지도 철도 부근,모래,12~16,"만조, 간조 전·후",경기도 안산시,"넙치,농어,도다리,우럭,붕장어",0
36,126.4495833,37.028222220907296,풍도·난지도,소난지도 우모도 부근,모래,23~24,"만조, 간조 전·후",경기도 안산시,"넙치,농어,도다리,우럭,붕장어",0
37,126.4298889,37.0282500009072,풍도·난지도,소난지도 비경도 부근,모래,25~28,"만조, 간조 전·후",경기도 안산시,"넙치,농어,도다리,우럭,붕장어",0
38,126.4218889,36.3904444409013,원산도·삽시도,증도 부근,모래,3.8~5.6,들물 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,농어,우럭,주꾸미",0
39,126.3892222,36.3406944409008,원산도·삽시도,납작도 부근,"펄, 모래",6.3~8.3,들물 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,농어,우럭,주꾸미",0
40,126.3311389,36.3439722209008,원산도·삽시도,면삽지 앞바다,"모래, 조개껍질",5.2~6.1,조금 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,농어,우럭,주꾸미",0
41,126.3168333,36.361638890901,원산도·삽시도,물건서 부근,"모래, 펄",15~19,조금 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,농어,우럭,주꾸미",0
42,126.2502222,36.3132222209004,호도·녹도·외연도,명덕도 부근,모래,17~22,초들물,충청남도 보령시,"감성돔,갑오징어,넙치,농어,노래미,우럭",0
43,126.2794722,36.2658333309001,호도·녹도·외연도,석도 부근,모래,6.8~9,초들물,충청남도 보령시,"감성돔,갑오징어,넙치,농어,노래미,우럭",0
44,126.2771111,36.2563611108999,호도·녹도·외연도,소화사도 부근,"펄, 모래",11~15,조금 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,농어,노래미,우럭",0
45,126.2473333,36.2717777809,호도·녹도·외연도,모도 부근,모래,13.7~16,초들물,충청남도 보령시,"감성돔,갑오징어,넙치,농어,노래미,우럭",0
46,126.064555599999,36.2316111108994,호도·녹도·외연도,흑서 부근,펄,14~16,조금 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,노래미,농어,우럭,참돔",0
47,126.087222199999,36.2020833308992,호도·녹도·외연도,초망서 부근,"펄, 조개껍질",21.5~27.5,조금 전·후,충청남도 보령시,"감성돔,갑오징어,넙치,노래미,농어,우럭,참돔",0
48,125.972972199999,36.1322222208982,어청도·연도,어청도 등대 북쪽 부근,펄,44~50,"들물, 날물",전라북도 군산시,"농어,노래미,돌돔,우럭",0
49,126.001666699999,36.1210000008981,어청도·연도,어청도 한우담 앞바다,모래,41~47,"들물, 날물",전라북도 군산시,"농어,노래미,돌돔,우럭",0
50,125.994722199999,36.105833330898,어청도·연도,어청도 가진서 부근,모래,22~30,"들물, 날물",전라북도 군산시,"넙치,농어,돌돔,방어",0
51,126.4265556,36.0905277808984,어청도·연도,연도 북서쪽 부근,모래,10~14,"들물, 날물",전라북도 군산시,"감성돔,넙치,농어,보구치,우럭,장대",0
52,126.217583299999,36.0022777808973,십이동파도·비안도,십이동파도 북도 북서측 바다,"펄, 모래",51~53,조금 전·후,전라북도 군산시,"감성돔,갑오징어,넙치,노래미,농어,우럭,참돔",0
53,126.227916699999,35.9788333308971,십이동파도·비안도,십이동파도 소금도 남서측 바다,"펄, 조개껍질",27~29.3,들물 전·후,전라북도 군산시,"감성돔,갑오징어,넙치,노래미,농어,우럭,참돔",0
54,126.4658611,35.7450277808949,십이동파도·비안도,비안도 두리도 부근,가는 모래,4.3~5.1,들물 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,우럭",0
55,126.4573056,35.7281944408947,십이동파도·비안도,비안도 치두도 부근,"모래, 펄",8.3~9.2,들물 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,우럭",0
56,126.3025278,35.8581944408959,말도·방축도,말도 서쪽 바다,"모래, 조개껍질",8.6~30,"들물, 썰물 전·후",전라북도 군산시,"넙치,노래미,도다리,우럭,참돔",0
57,126.3160556,35.862750000896,말도·방축도,말도 등대 앞바다,"모래, 조개껍질",26~30.5,"들물, 썰물 전·후",전라북도 군산시,"넙치,노래미,농어,도다리,우럭",0
58,126.32825,35.8557222208959,말도·방축도,말도와 보농도 사이 바다,"모래, 조개껍질",7~10,"들물, 썰물 전·후",전라북도 군산시,"감성돔,노래미,넙치,도다리,우럭",0
59,126.3460833,35.860555560896,말도·방축도,솔푼서 부근,바위,15.2~18,"들물, 썰물 전·후",전라북도 군산시,"감성돔,도다리,노래미,우럭",0
60,126.3903889,35.855194440896,말도·방축도,방축도 동쪽 바다,펄,33~37,중들물~만조시,전라북도 군산시,"넙치,노래미,농어,도다리,우럭",0
61,126.3771667,35.8279722208956,말도·방축도,흑도와 골서 부근,"자갈, 조개껍질",12~15,중들물~만조시,전라북도 군산시,"감성돔,노래미,넙치,도다리,우럭",0
62,126.3836944,35.8110000008955,선유도·무녀도·장자도·신시도,1. 증서 부근,가는 모래,13.6~15,조금 전·후,전라북도 군산시,"넙치,노래미,농어,양태,붕장어,우럭",0
63,126.3955833,35.8272777808956,선유도·무녀도·장자도·신시도,2. 광서 부근,"자갈, 조개껍질",6~8,조금 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,삼치,우럭,양태",0
64,126.44,35.8345277808957,선유도·무녀도·장자도·신시도,3. 도토머리도 부근,"모래, 펄",13~15,조금 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,삼치,우럭,양태",0
65,126.4436389,35.7971666708953,선유도·무녀도·장자도·신시도,"만서, 만자서 부근","모래, 펄",9~12,조금 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,삼치,우럭,양태",0
66,126.4521111,35.7880833308952,선유도·무녀도·장자도·신시도,"만서, 만자서 앞바다","모래, 펄",18~21,조금 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,삼치,우럭,양태",0
67,126.4004167,35.7924722208953,선유도·무녀도·장자도·신시도,장구도 앞바다,가는 모래,8~12,조금 전·후,전라북도 군산시,"넙치,노래미,농어,붕장어,삼치,우럭,양태",0
68,126.101166699999,35.6378888908934,왕등도·위도,하왕등도 서쪽 바다,펄,28~34,조금 전·후,전라북도 부안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
69,126.118861099999,35.6613055608937,왕등도·위도,상왕등도 대구섬 부근,"가는 모래, 펄",17~23,조금 전·후,전라북도 부안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
70,126.137444399999,35.6586944408937,왕등도·위도,상왕등도 열도 부근,"가는 모래, 펄",24~30,조금 전·후,전라북도 부안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
71,126.215833299999,35.6369166708935,왕등도·위도,식도 북쪽 바다,펄,28~30,중썰물~끝썰물,전라북도 부안군,"감성돔,넙치,노래미,농어,숭어,우럭",0
72,126.25775,35.6113888908933,왕등도·위도,위도 달루도 부근,펄,11~13,중썰물~끝썰물,전라북도 부안군,"감성돔,넙치,노래미,농어,숭어,우럭",0
73,126.227444399999,35.583333330893,왕등도·위도,위도 외조도 부근,바위,16~19,중썰물~끝썰물,전라북도 부안군,"감성돔,넙치,노래미,농어,숭어,우럭",0
74,125.923944399998,34.7942500008838,비금도·도초도,우세도 부근,펄,7~10,날물,전라남도 신안군,"감성돔,농어,돌돔,볼락,붕장어,우럭,참돔",0
75,125.954166699998,34.8243888908842,비금도·도초도,토막도 부근,펄,12~18,날물,전라남도 신안군,"감성돔,농어,돌돔,볼락,붕장어,우럭,참돔",0
76,125.968749999999,34.6520000008823,비금도·도초도,가도 부근,펄,14~19,초들물~중들물,전라남도 신안군,"감성돔,농어,돌돔,볼락,붕장어,우럭,참돔",0
77,125.921555599998,34.646777780882,비금도·도초도,종달암 부근,펄,28~32,초들물~중들물,전라남도 신안군,"감성돔,농어,돌돔,볼락,붕장어,우럭,참돔",0
78,125.370749999991,34.6847500008788,흑산도·삼태도,"대장도, 소장도 부근","펄, 모래",30~45,조금 전·후,전라남도 신안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
79,125.411277799992,34.7109722208796,흑산도·삼태도,대흑산도 호장도 부근,"펄, 모래",26.5~30,조금 전·후,전라남도 신안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
80,125.444083299993,34.6181111108789,흑산도·삼태도,대흑산도 서산말 남동쪽 바다,"모래, 펄",25.5~40,조금 전·후,전라남도 신안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
81,125.248222199988,34.3937500008737,흑산도·삼태도,삼태도 넓은여 부근,모래,35~50,조금 전·후,전라남도 신안군,"감성돔,넙치,농어,돌돔,붕장어,우럭,참돔",0
82,126.5414167,34.2171111108777,노화도·보길도·소안도,송도 부근,펄,6~8.5,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
83,126.6577222,34.2179444408777,노화도·보길도·소안도,각씨여 부근,"펄, 조개껍질",38~42,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
84,126.6601389,34.0982222208763,노화도·보길도·소안도,소안도 거망치각 앞바다,"펄, 조개껍질",40~42,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
85,126.5830833,34.1270277808767,노화도·보길도·소안도,예작도 부근,"펄, 모래",9.1~12,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
86,126.5038611,34.1105833308764,노화도·보길도·소안도,보길도 보죽각 앞바다,조개껍질,37~40,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
87,126.4652778,34.162444440877,노화도·보길도·소안도,토금도 부근,"펄, 조개껍질",30~33,사리 전·후,전라남도 완도군,"감성돔,돌돔,벵에돔,우럭,볼락,참돔",0
88,126.7825278,34.2748611108785,신지도,완도 대구두 앞바다,"모래, 조개껍질",24.5~26,사리 전·후,전라남도 완도군,"감성돔,돌돔,볼락,붕장어,우럭,참돔,학공치",0
89,126.8490278,34.2950833308787,신지도,신지도 최남단 앞바다,"펄, 조개껍질",13.5~18,사리 전·후,전라남도 완도군,"감성돔,돌돔,볼락,붕장어,우럭,참돔,학공치",0
90,126.89825,34.3044444408788,신지도,제도 부근,펄,11~15,사리 전·후,전라남도 완도군,"감성돔,돌돔,볼락,붕장어,우럭,참돔,학공치",0
91,126.9143611,34.2893333308786,신지도,모황도 부근,"펄, 조개껍질",25.5~33,사리 전·후,전라남도 완도군,"감성돔,돌돔,볼락,붕장어,우럭,참돔,학공치",0
